JD,RA_deg,Dec_deg,obs_lat_deg,obs_lon_deg,obs_alt_m
2458044.478960,1.578,4.804342,28.7622,-17.8792,2367
2458044.480666,1.576,4.804586,28.7622,-17.8792,2367
2458044.482372,1.572,4.804850,28.7622,-17.8792,2367
2458044.512315,1.519,4.809297,28.7622,-17.8792,2367
2458044.514021,1.516,4.809533,28.7622,-17.8792,2367
2458044.515726,1.513,4.809769,28.7622,-17.8792,2367
2458044.535075,1.479,4.812653,28.7622,-17.8792,2367
2458044.536781,1.477,4.812850,28.7622,-17.8792,2367
2458058.604277,350.909,5.916861,32.6769,-105.5281,2210
2458058.624874,350.903,5.917944,32.6769,-105.5281,2210
2458058.647587,350.896,5.919194,32.6769,-105.5281,2210
2458059.661304,350.634,5.972583,32.6769,-105.5281,2210
2458059.669045,350.632,5.972972,32.6769,-105.5281,2210
2458059.675379,350.630,5.973278,32.6769,-105.5281,2210